Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 81	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 82	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 84	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 85	0:0.8416051; 1:0.1583949	0:0.73798019; 1:0.26201981	0:0.60043748; 1:0.39956252	0:0.61093677; 1:0.38906323	0:0.57579534; 1:0.42420466
character 86	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 87	0:0.00140945; 1:0.99859055	0:0.04415047; 1:0.95584953	0:0.00648637; 1:0.99351363	0:0.00114385; 1:0.99885615	0:0.00129505; 1:0.99870495
character 88	0:0.9898828; 1:0.0101172	0:0.30912647; 1:0.69087353	0:0.84151873; 1:0.15848127	0:0.96015543; 1:0.03984457	0:0.97092476; 1:0.02907524
character 89	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 90	0:0.0101172; 1:0.9898828	0:0.69087353; 1:0.30912647	0:0.15848127; 1:0.84151873	0:0.03984457; 1:0.96015543	0:0.02907524; 1:0.97092476
character 91	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 92	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 93	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 94	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 95	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 96	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 97	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 98	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 99	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 100	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 101	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 102	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 103	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958243; 1:0.79041757	0:0.43287988; 1:0.56712012
character 104	0:0.18344299; 1:0.81655701	0:0.37750935; 1:0.62249065	0:0.33339822; 1:0.66660178	0:0.36306476; 1:0.63693524	0:0.40642126; 1:0.59357874
character 105	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 106	0:0.27924262; 1:0.72075738	0:0.49710638; 1:0.50289362	0:0.45758336; 1:0.54241664	0:0.49887328; 1:0.50112672	0:0.54455064; 1:0.45544936
character 107	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 108	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 109	0:0.29488303; 1:0.70511697	0:0.55332218; 1:0.44667782	0:0.56846167; 1:0.43153833	0:0.52186277; 1:0.47813723	0:0.52847883; 1:0.47152117
character 110	0:0.9898828; 1:0.0101172	0:0.30912647; 1:0.69087353	0:0.84151873; 1:0.15848127	0:0.96015543; 1:0.03984457	0:0.97092476; 1:0.02907524
character 111	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 112	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 113	0:0.66965939; 1:0.33034061	0:0.91235081; 1:0.08764919	0:0.8847118; 1:0.1152882	0:0.80525085; 1:0.19474915	0:0.77341863; 1:0.22658137
character 114	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 115	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 116	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 117	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 118	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 119	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 121	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 123	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 124	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 125	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 126	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 127	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
