Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 292	0:0.5; 1:0.5
character 293	0:0.30009954; 1:0.69990046
character 294	0:0.84952492; 1:0.15047508
character 295	0:0.99840479; 1:0.00159521
character 296	0:0.84952492; 1:0.15047508
character 297	0:0.5; 1:0.5
character 298	0:0.00159521; 1:0.99840479
character 299	0:0.00203534; 1:0.99796466
character 300	0:0.08537079; 1:0.91462921
character 301	0:0.25128664; 1:0.74871336
character 302	0:0.5; 1:0.5
character 303	0:0.5; 1:0.5
character 304	0:0.5; 1:0.5
character 305	0:0.5; 1:0.5
character 306	0:0.84160511; 1:0.15839489
character 307	0:0.5; 1:0.5
character 308	0:0.90365191; 1:0.09634809
character 309	0:0.5; 1:0.5
character 310	0:0.00156862; 1:0.99843138
character 311	0:0.99843138; 1:0.00156862
character 312	0:0.99796466; 1:0.00203534
character 313	0:0.8754428; 1:0.1245572
character 314	0:0.5; 1:0.5
character 315	0:0.99849706; 1:0.00150294
character 316	0:0.5; 1:0.5
character 317	0:0.08537079; 1:0.91462921
character 320	0:0.5; 1:0.5
character 321	0:0.1720113; 1:0.8279887
character 322	0:0.84952492; 1:0.15047508
character 324	0:0.70511697; 1:0.29488303
character 325	0:0.99859055; 1:0.00140945
character 326	0:0.99840479; 1:0.00159521
character 327	0:0.84952492; 1:0.15047508
character 328	0:0.8591251; 1:0.1408749
character 329	0:0.00159521; 1:0.99840479
character 330	0:0.90365191; 1:0.09634809
character 331	0:0.91462921; 1:0.08537079
character 332	0:0.99859055; 1:0.00140945
character 333	0:0.99796466; 1:0.00203534
character 334	0:0.99849706; 1:0.00150294
character 337	0:0.08537079; 1:0.91462921
character 338	0:0.8416051; 1:0.1583949
character 339	0:0.00140945; 1:0.99859055
character 340	0:0.00203534; 1:0.99796466
character 342	0:0.5; 1:0.5
character 343	0:0.5; 1:0.5
character 344	0:0.99849706; 1:0.00150294
character 345	0:0.04200474; 1:0.95799526
character 346	0:0.00159521; 1:0.99840479
character 347	0:0.14758506; 1:0.85241494
character 348	0:0.99840479; 1:0.00159521
character 349	0:0.99849706; 1:0.00150294
character 350	0:0.04200474; 1:0.95799526
character 351	0:0.08537079; 1:0.91462921
character 352	0:0.90365191; 1:0.09634809
character 353	0:0.5; 1:0.5
character 354	0:0.00203534; 1:0.99796466
character 355	0:0.5; 1:0.5
character 356	0:0.1408749; 1:0.8591251
character 357	0:0.9898828; 1:0.0101172
character 359	0:0.18858305; 1:0.81141695
character 360	0:0.18858305; 1:0.81141695
character 361	0:0.99796466; 1:0.00203534
character 362	0:0.99843138; 1:0.00156862
character 363	0:0.84952492; 1:0.15047508
character 365	0:0.06990094; 1:0.93009906
character 366	0:0.5; 1:0.5
character 367	0:0.18858305; 1:0.81141695
character 368	0:0.00159521; 1:0.99840479
character 369	0:0.5; 1:0.5
character 370	0:0.04200474; 1:0.95799526
character 371	0:0.00203534; 1:0.99796466
character 372	0:0.5; 1:0.5
character 373	0:0.99849706; 1:0.00150294
character 374	0:0.5; 1:0.5
character 375	0:0.99859055; 1:0.00140945
character 376	0:0.1720113; 1:0.8279887
character 377	0:0.68625674; 1:0.31374326
character 378	0:0.14758506; 1:0.85241494
character 379	0:0.5; 1:0.5
character 380	0:0.5; 1:0.5
character 381	0:0.90365191; 1:0.09634809
character 382	0:0.5; 1:0.5
character 383	0:0.08537079; 1:0.91462921
character 384	0:0.9898828; 1:0.0101172
character 385	0:0.14758506; 1:0.85241494
character 386	0:0.99849706; 1:0.00150294
character 387	0:0.99796466; 1:0.00203534
character 388	0:0.00156862; 1:0.99843138
character 389	0:0.99843138; 1:0.00156862
character 390	0:0.04055226; 1:0.95944774
character 391	0:0.99840479; 1:0.00159521
character 392	0:0.2792426; 1:0.7207574
character 393	0:0.5; 1:0.5
character 394	0:0.99849706; 1:0.00150294
character 395	0:0.00203534; 1:0.99796466
character 396	0:0.99859055; 1:0.00140945
character 397	0:0.84952492; 1:0.15047508
character 398	0:0.12198888; 1:0.87801112
character 399	0:0.1583949; 1:0.8416051
character 400	0:0.19528937; 1:0.80471063
character 401	0:0.99843138; 1:0.00156862
character 403	0:0.08537079; 1:0.91462921
character 404	0:0.15047508; 1:0.84952492
character 405	0:0.00159521; 1:0.99840479
character 406	0:0.08537079; 1:0.91462921
character 407	0:0.99843138; 1:0.00156862
